rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,145,"2615101"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,2,5,"2411551"
3,"spotify:track:5xVCfx47vCXuLdpfbepqEo","HIEUTHUHAI","Người Im Lặng Gặp Người Hay Nói","M Music Records",2,4,7,"1030471"
4,"spotify:track:1ApIGNgp1azc0qB61x4GzG","Hngle, Ari","Không Buông","Universal Music Indochina Distributed Labels",2,3,33,"1002116"
5,"spotify:track:7uUuftbcr94tzGOCJSM25u","Low G, JustaTee","In Love","M Music Records",2,7,26,"816102"
6,"spotify:track:42AOwjuMmIN1ioyyWB60Lw","GREY D","hoá ra…","Universal Music Indochina Distributed Labels",5,5,4,"706466"
7,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,10,132,"704301"
8,"spotify:track:6Qwl74olNi1rl65FNxG5We","marzuz, Changg","Và Thế Giới Đã Mất Đi Một Người Cô Đơn","Universal Music Indochina",8,9,22,"700850"
9,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",9,86,2,"644073"
10,"spotify:track:5KYv3kORBKUmVEoqbRRWxt","Bảo Anh, Táo","Từng Là Của Nhau","Yin Yang Media",7,8,33,"638377"
11,"spotify:track:11T61UpoNbbcewOMl1kcWN","NHONHO","Dạo Bước HongKong 1999","NHONHO",5,6,4,"636682"
12,"spotify:track:73RcFjiDtStfP3GCW44vJu","Minh Huy, Pinny","Ngày Rời Chuyến Bay","12 trái lê",12,12,3,"634197"
13,"spotify:track:6GM4ZOBDcDroldUxI8GZ2B","VSTRA, Tyronee","Ai Ngoài Anh","CDSL",2,11,16,"633778"
14,"spotify:track:0NyrI1tMvqcK3vU5z9DMdI","JustaTee","She Neva Knows","NGUYEN THANH TUAN",13,13,12,"610624"
15,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,18,128,"570147"
16,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,14,86,"548938"
17,"spotify:track:2a5hng9yXtbjtTVVm9UviC","VCT","Mơ","Universal Music Indochina Distributed Labels",6,19,191,"510164"
18,"spotify:track:7bFFUPBiF15n8m8RziqS4o","GREY D","dự báo thời tiết hôm nay mưa","Universal Music Indochina Distributed Labels",7,42,179,"502742"
19,"spotify:track:0GXZXSDFSbJjqdGifjSaig","buitruonglinh","Sớm Như Vậy","Umusic Vietnam Co. Ltd. Distributed Labels",19,28,2,"499112"
20,"spotify:track:3T7XHOdRcyhKU3QCB6kZG3","MIN, Dangrangto, antransax","chẳng phải tình đầu sao đau đến thế","WM Vietnam",2,22,26,"498056"
21,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",9,21,287,"476862"
22,"spotify:track:3DLtPObflLQBodZN8qGODT","JustaTee, BigDaddy","2AM","WM Vietnam",18,29,208,"465225"
23,"spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC","Shartnuss, Phankeo, Tr.D","Nắng có mang em về","MaiDao Music",4,20,115,"460106"
24,"spotify:track:6GUKRhIsWxA7VuZW8MKQLG","Dương Domic","Không Thời Gian","DAO Entertainment",2,25,31,"457956"
25,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,17,157,"457580"
26,"spotify:track:5cn5oHiXJTLiuthgbgfkMh","VCT","Vết Mưa","Universal Music Indochina Distributed Labels",19,24,111,"457538"
27,"spotify:track:6epn3r7S14KUqlReYr77hA","Justin Bieber, Ludacris","Baby","RBMG/Def Jam",27,88,2,"456596"
28,"spotify:track:3uT8QfoX0BE8ZJa4h98LDW","Puppy, Dangrangto","Wrong Times","MaiDao Music",3,26,129,"449396"
29,"spotify:track:0t8g66pWghsU8MphjUQIdg","Phùng Khánh Linh, 30 Pictures","Cảm Ơn Người Đã Thức Cùng Tôi","+84 Vietnam New Wave",5,23,9,"442480"
30,"spotify:track:4BdB08vuS9r4HOoY7GkAxT","SOOBIN","Nếu Ngày Ấy","SS LABEL",18,27,70,"438062"
31,"spotify:track:3dbfL7nHOZlM4adzLHNnB3","Juky San, buitruonglinh","Người Đầu Tiên","DAO Entertainment",2,38,25,"420076"
32,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,34,133,"417210"
33,"spotify:track:3vSmjbKFByNM6l31NmFlmB","GREY D, MIN","đôi mắt kẻ tình si","Universal Music Indochina Distributed Labels",12,16,4,"416412"
34,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,32,229,"412605"
35,"spotify:track:2fCwv2ppU5nTRTckomIGsd","CORTIS","REDRED","Republic Records – CORTIS",35,-1,1,"403304"
36,"spotify:track:5tdz7T4hTxA1ipJMBe24uX","AMEE","ex's hate me, Pt.2","Yin Yang Media",13,41,183,"401457"
37,"spotify:track:3Ids3RXurYBgySph53qWnB","buitruonglinh","Từng Ngày Yêu Em","LOOPS Music",9,33,68,"396929"
38,"spotify:track:1FUdEz4fX1DxPcVAARlu6A","GREY D","yêu em như…","Universal Music Indochina Distributed Labels",13,15,4,"395942"
39,"spotify:track:6mKMGpkgP2cH5gmqILWe7b","Fishy","vết thương","LOOPS Music",15,49,49,"389578"
40,"spotify:track:1mtmvJjTchdqDCoJbFv1Op","OgeNus, Dangrangto","Tuyển Bạn Gái","Universal Music Indochina Distributed Labels",40,77,2,"387597"
41,"spotify:track:6Zoi4ue74UdUeYmHXItXnf","B Ray, V#","Vùng An Toàn","MIXUS",3,31,42,"386584"
42,"spotify:track:3J3nv18iIrOhca1ZWNeuyW","JustaTee","Đã Lỡ Yêu Em Nhiều","NGUYEN THANH TUAN",36,51,168,"378014"
