rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
181,"spotify:track:6HpkHTTwfVmSoopeloHqOp","RAP VIỆT, Dick, DT TAP RAP, UMIE","Anh Là Ai? (feat. Dick, DT & UMIE)","DAT VIET VAC",3,-1,28,"162833"
182,"spotify:track:0sR5ThoE0uoskXWrm6KDxP","Kha","Hư không","MaiDao Music",22,144,124,"162725"
183,"spotify:track:1uiqiUzPn2EJpvHDy84PEZ","EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều","KHÔNG ĐAU NỮA RỒI","Em Xinh Say Hi",2,198,47,"162440"
184,"spotify:track:6CygbhaDoDGTlRq8LiEwpt","Binz","Hững Hờ","SS LABEL",184,-1,1,"161995"
185,"spotify:track:3dCdcURa0Kk5UWXRY00HQy","CORTIS","Wassup","Republic Records – CORTIS",66,121,4,"161657"
186,"spotify:track:4QNH4OjJ9W10afDYAHi03I","HIEUTHUHAI","Anh Nên Đi Khỏi Đây","M Music Records",36,153,5,"161039"
187,"spotify:track:4D1eaEIisnWCVPMnYuMh7q","白浩贤BlueC","漫步香港1999","腾讯音乐人",13,177,15,"160773"
188,"spotify:track:7HoAJ6Hc1P91eoOrn1WY5d","Đức Trường, BMZ, Kun","Đáng Lý Ra Phải Là Anh","BMZ",90,141,24,"160543"
189,"spotify:track:527UV7H9SbnmTVkxBVg56X","Sơn Tùng M-TP","Chắc Ai Đó Sẽ Về","Universal Music Indochina Distributed Labels",126,169,38,"159910"
190,"spotify:track:1mtmvJjTchdqDCoJbFv1Op","OgeNus, Dangrangto","Tuyển Bạn Gái","Universal Music Indochina Distributed Labels",40,173,7,"159343"
191,"spotify:track:3J06iY9IRWKr1H0zIxrUby","Orange, Hoàng Dũng","Khi Em Lớn","Universal Music Indochina",4,180,225,"159294"
192,"spotify:track:42i1d7gos5WvqZIFWCfE7E","Ngô Lan Hương","Có công mài ""Sắc""","Ngô Lan Hương Exclusive",85,155,7,"159054"
193,"spotify:track:48MtqfQw716EZaNzOKNnuR","CoolKid, RHYDER","Sau Cơn Mưa","MaiDao Music",8,-1,142,"157262"
194,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",2,195,70,"156144"
195,"spotify:track:5iZHnufFUgATzrpGgH1K0W","T.R.I","Ánh Sao Và Bầu Trời","Yin Yang Media",1,-1,219,"155928"
196,"spotify:track:6IxPiUQI4Cd0mL0pBIOjAg","HIEUTHUHAI","Hết Yêu","M Music Records",39,138,5,"155384"
197,"spotify:track:7AD5F85waSb3yZxZxEXhJM","Tóc Tiên, Touliver","Có Ai Thương Em Như Anh","Yin Yang Media",20,179,147,"155060"
198,"spotify:track:5oFEvbM7lGnx8jfAkuhVyo","AMEE, RPT MCK","MỘNG YU","Yin Yang Media",3,-1,77,"154560"
199,"spotify:track:4FT18tLTmf3QNBzG5r6OTj","Đen, Ngọc Linh","Mười Năm (Lộn Xộn 3)","Đen",17,187,133,"154215"
200,"spotify:track:55Eo6NDkVhSRBonrT16kXM","Cloud 5, Dangrangto","Đến Đây Bên Anh","Yin Yang Media",66,190,59,"153627"
