rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,134,"2083498"
2,"spotify:track:6GM4ZOBDcDroldUxI8GZ2B","VSTRA, Tyronee","Ai Ngoài Anh","CDSL",2,2,5,"980379"
3,"spotify:track:7uUuftbcr94tzGOCJSM25u","Low G, JustaTee","In Love","M Music Records",3,3,15,"933024"
4,"spotify:track:1ApIGNgp1azc0qB61x4GzG","Hngle, Ari","Không Buông","Universal Music Indochina Distributed Labels",2,4,22,"849652"
5,"spotify:track:5DB1UwivnS4gmcZ27TiYnE","Juky San, buitruonglinh","Người Đầu Tiên","DAO Entertainment",2,6,14,"819745"
6,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,5,123,"714046"
7,"spotify:track:3T7XHOdRcyhKU3QCB6kZG3","MIN, Dangrangto, antransax","chẳng phải tình đầu sao đau đến thế","WM Vietnam",2,7,15,"713245"
8,"spotify:track:6GUKRhIsWxA7VuZW8MKQLG","Dương Domic","Không Thời Gian","DAO Entertainment",2,8,20,"650073"
9,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,9,121,"645270"
10,"spotify:track:6Qwl74olNi1rl65FNxG5We","marzuz, Changg","Và Thế Giới Đã Mất Đi Một Người Cô Đơn","Universal Music Indochina",9,12,11,"594263"
11,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,10,75,"559847"
12,"spotify:track:3uT8QfoX0BE8ZJa4h98LDW","Puppy, Dangrangto","Wrong Times","MaiDao Music",3,11,118,"539411"
13,"spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC","Shartnuss, Phankeo, Tr.D","Nắng có mang em về","MaiDao Music",4,13,104,"516773"
14,"spotify:track:1r9gNSD1WUFscqTSA2Rcet","MAYDAYs","Hẹn Lần Sau","Universal Music Indochina Distributed Labels",14,26,7,"511442"
15,"spotify:track:65st6HfPZyxq1RNTvqSIos","Wren Evans, itsnk","Thu Đợi","Universal Music Indochina Distributed Labels",6,32,6,"505000"
16,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",9,14,276,"489038"
17,"spotify:track:3CmacJj7VC4W6daC8BWd0h","Dương Domic","Mất Kết Nối","DAO Entertainment",2,17,63,"486990"
18,"spotify:track:5WkuMbkHX7yR7nnBKCn7tV","RIO","vạn vật như muốn ta bên nhau","DAO Entertainment",6,20,43,"462668"
19,"spotify:track:29Tj2R8sZZ3fzlXZVe1OyY","Dương Domic, Lou Hoàng","Pin Dự Phòng","DAO Entertainment",13,15,31,"461947"
20,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,18,146,"459130"
