rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
89,"spotify:track:1hPbWyZnUPaeAWbOSKwkXJ","Quang Đăng Trần","Anh Đã Không Biết Cách Yêu Em","338ENT",9,102,42,"248060"
90,"spotify:track:2w7jOvl0kpplNxisgfnCdT","Đức Trường, BMZ","Nếu Biết Đó Là Lần Cuối","BMZ",47,92,37,"241796"
91,"spotify:track:5XfGQZA0ioQAWUjlyJRcHc","Shiki, Obito","1000 Ánh Mắt","12 trái lê",8,115,99,"239937"
92,"spotify:track:2ZBi1KpCR0grEWRNgySqwg","Hngle","Buông","Sony Music Entertainment",17,112,14,"239379"
93,"spotify:track:43zzuEWDotRcKlSFzrlJqs","Đạt G","Thêm Bao Nhiêu Lâu","12 trái lê",93,94,54,"239100"
94,"spotify:track:1UQNU5O9VttUgO16pxUnjw","Obito, Shiki, RPT MCK","Đánh Đổi","12 trái lê",7,116,137,"238668"
95,"spotify:track:54UNNgtE3zzERwTuWSQLqd","MONSTAR, GREY D, VƯƠNG BÌNH","có hẹn với thanh xuân","Yin Yang Media",5,128,175,"237602"
96,"spotify:track:2vKNzC9T3kdU2JECcvob3V","CORTIS","YOUNGCREATORCREW","Republic Records – CORTIS",58,58,3,"235747"
97,"spotify:track:0GXZXSDFSbJjqdGifjSaig","buitruonglinh","Sớm Như Vậy","Umusic Vietnam Co. Ltd. Distributed Labels",19,101,6,"235533"
98,"spotify:track:0JKEP4dB1riE6l7Kq5kJm1","Chillies","Em Đừng Khóc","WM Vietnam",3,98,67,"235209"
99,"spotify:track:4TyQKEifYDWTfTSRwpxlYI","Quân A.P","Bông Hoa Đẹp Nhất","Great Entertainment",32,127,125,"231469"
100,"spotify:track:5tmA5oQDF0ULqRI12LKCDw","JayKii","Chiều Hôm Ấy","The First Management",95,117,30,"230883"
101,"spotify:track:1i5SZL7Ngz0sYFaKmwieyw","Quang Hùng MasterD, Low G, Hino","Chất Gây Hại","M Music Records",16,91,22,"226616"
102,"spotify:track:1LJyhnPdYGRLerwJd8CmL1","Vũ., Dear Jane","Những Lời Hứa Bỏ Quên","WM Vietnam",1,119,127,"226082"
103,"spotify:track:5C3fx9rdM4Bxf1MSOQC4Ym","Low G, Thắng","An Thần","M Music Records",2,140,239,"225461"
104,"spotify:track:0oL2jCTf9P9a7flY5mCpYu","Wxrdie, JustaTee","Trở Về","Universal Music Indochina Distributed Labels",54,125,64,"223992"
105,"spotify:track:19U8QkwGDiQnYtnNIlspuo","Ronboogz","Nói Dối","MaiDao Music",3,65,133,"223386"
106,"spotify:track:3bmpXHVie1GTy37OkXJ7Vc","BTS","2.0","BIGHIT MUSIC",11,93,9,"223039"
107,"spotify:track:54PbBpquVfhfrwRwvjSXbI","Charlie Puth, Selena Gomez","We Don't Talk Anymore (feat. Selena Gomez)","Artist Partner",71,108,286,"221136"
108,"spotify:track:7q1qYSyRkGT4ZaCc2ZQihP","Hoàng Tôn, Koo","Em Còn Nhớ Anh Không - Remastered","Hoàng Tôn",69,113,58,"220287"
109,"spotify:track:6qgATU8r0ZPcPFPtZ5qA7B","Long Cao","Em Của Anh Đừng Của Ai!","Long Cao",109,171,3,"220146"
110,"spotify:track:5BJqg07SKgmFnVLOBmLFvq","Bùi Anh Tuấn","Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu""","1LABEL",109,178,57,"219706"
111,"spotify:track:4Iz5EWPCAT8jYNk4IpLoll","buitruonglinh","Dù Cho Mai Về Sau","Yin Yang Media",10,147,269,"219232"
112,"spotify:track:5Bti0azlFhMattVY76qFr9","Vũ.","Lạ Lùng","WM Vietnam",17,135,424,"218680"
113,"spotify:track:6OWWZtNQORY1McaZmOrwhc","CORTIS","GO!","Republic Records – CORTIS",82,107,26,"218475"
114,"spotify:track:4vfhartd7HDWGJbdVIycEu","Sơn Tùng M-TP","Muộn Rồi Mà Sao Còn","Universal Music Indochina Distributed Labels",1,139,265,"218371"
115,"spotify:track:0KA8tBqZ81mBe2po59GK5j","Đỗ Hoàng Long","Trạng Thái Mộng Mơ","Universal Music Indochina Distributed Labels",92,124,13,"217341"
116,"spotify:track:5VGOYjxkEaf19LoRPIolD2","The Wind, Dangrangto","Anh Muốn Nhìn Thấy Em","M Music Records",77,114,75,"217308"
117,"spotify:track:317Lh6QCAz9JpWbV3oxrCf","Phùng Khánh Linh, Thành Luke","EM ĐAU","BLACK SWAN LABEL LLC.",62,126,19,"217277"
118,"spotify:track:20dAJsyno9ZoBLJtqgQnUI","BTS","Hooligan","BIGHIT MUSIC",8,103,9,"214732"
119,"spotify:track:1VyXprVXZYNGWWZf1u4JfN","CORTIS","Blue Lips","Republic Records – CORTIS",59,64,3,"214604"
120,"spotify:track:5U30iZBlmxkpHqzb1OSnBS","Rhymastic","Yêu 5","WM Vietnam",77,120,224,"212946"
121,"spotify:track:3dCdcURa0Kk5UWXRY00HQy","CORTIS","Wassup","Republic Records – CORTIS",66,66,3,"212629"
122,"spotify:track:3b34161QoxLwsqhWSPy9i5","Da LAB","Thanh Xuân","Sony Music Entertainment",1,137,401,"212348"
123,"spotify:track:1FUdEz4fX1DxPcVAARlu6A","GREY D","yêu em như…","Universal Music Indochina Distributed Labels",13,109,8,"211840"
124,"spotify:track:6rEWOmyRZwZ4Aouth1YBSX","B Ray","Tệ Hại Và Xấu Xí","Great Entertainment/Sony Music",73,73,2,"209635"
125,"spotify:track:7fCeYpR02Q8JVuD88hJZVT","Da LAB, Minh Tốc & Lam","Bầu Trời Mới","Universal Music Indochina Distributed Labels",8,133,85,"208848"
126,"spotify:track:6E3P4uOfKHYXJLK6Q3s0Tj","JustaTee, Binz","Cơn Mưa Cuối","NGUYEN THANH TUAN",86,123,29,"208469"
127,"spotify:track:1J12HjUuXfJnaUdubTEzSR","HIEUTHUHAI","Nghe Như Tình Yêu","M Music Records",35,130,244,"207777"
128,"spotify:track:0pavLg3wbL6PVXAgXoWv4S","24k.Right, Ngắn, Hipz","Một Nửa Sự Thật","Universal Music Indochina",119,122,7,"207333"
129,"spotify:track:6epn3r7S14KUqlReYr77hA","Justin Bieber, Ludacris","Baby","RBMG/Def Jam",27,104,6,"205348"
130,"spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz","CORTIS","FaSHioN","Republic Records – CORTIS",90,118,24,"204129"
131,"spotify:track:0rR27Ayle8G7sKoCt8OWUr","Dương Domic","Mất Kết Nối","DAO Entertainment",2,106,78,"202677"
132,"spotify:track:7J9l9ebYB3IEs5ea5J1M7a","Da LAB, Tóc Tiên","Nước Mắt Em Lau Bằng Tình Yêu Mới","MUNIZ MUSIC COMPANY LIMITED",107,161,117,"202497"
133,"spotify:track:6KIhgRkprgyJNERRMu7Quh","MIN","Có Em Chờ","MIN",117,176,54,"202367"
134,"spotify:track:2Wjghh0RpiBquLsJ932X6R","Ronboogz","nhắn nhủ","MaiDao Music",14,82,127,"202073"
135,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",3,192,67,"202050"
136,"spotify:track:4N99EuIjwSSFFFMDfTeOLU","buitruonglinh, Vũ Phụng Tiên","Em Không Khóc (feat. Vũ Phụng Tiên)","Yin Yang Media",62,152,185,"201873"
137,"spotify:track:5PGh9MyKry8slG5AfvD1eD","Obito, Shiki, VSTRA","Hà Nội","12 trái lê",10,145,137,"201542"
138,"spotify:track:6IxPiUQI4Cd0mL0pBIOjAg","HIEUTHUHAI","Hết Yêu","M Music Records",39,85,4,"199702"
139,"spotify:track:6TGwaBlfUGVoeZMBLzvXGP","Dangrangto, DONAL","thế giới của anh","Higher Dimension",50,143,16,"197409"
140,"spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr","Vũ.","Bước Qua Mùa Cô Đơn","WM Vietnam",1,168,272,"196129"
141,"spotify:track:7HoAJ6Hc1P91eoOrn1WY5d","Đức Trường, BMZ, Kun","Đáng Lý Ra Phải Là Anh","BMZ",90,134,23,"196009"
142,"spotify:track:1zvL2X6HPrLfvtSY4DpopE","MIN","Em Mới Là Người Yêu Anh","MIN",1,162,157,"195096"
143,"spotify:track:2ppLwHSMgDGEQ5c8o6nAX2","Low G","Simp Gái 808","M Music Records",9,157,136,"193629"
144,"spotify:track:0sR5ThoE0uoskXWrm6KDxP","Kha","Hư không","MaiDao Music",22,121,123,"192960"
