rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
118,"spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz","CORTIS","FaSHioN","Republic Records – CORTIS",90,90,23,"216698"
119,"spotify:track:1LJyhnPdYGRLerwJd8CmL1","Vũ., Dear Jane","Những Lời Hứa Bỏ Quên","WM Vietnam",1,150,126,"216061"
120,"spotify:track:5U30iZBlmxkpHqzb1OSnBS","Rhymastic","Yêu 5","WM Vietnam",77,151,223,"215766"
121,"spotify:track:0sR5ThoE0uoskXWrm6KDxP","Kha","Hư không","MaiDao Music",22,85,122,"213340"
122,"spotify:track:0pavLg3wbL6PVXAgXoWv4S","24k.Right, Ngắn, Hipz","Một Nửa Sự Thật","Universal Music Indochina",119,138,6,"213103"
123,"spotify:track:6E3P4uOfKHYXJLK6Q3s0Tj","JustaTee, Binz","Cơn Mưa Cuối","NGUYEN THANH TUAN",86,118,28,"212894"
124,"spotify:track:0KA8tBqZ81mBe2po59GK5j","Đỗ Hoàng Long","Trạng Thái Mộng Mơ","Universal Music Indochina Distributed Labels",92,121,12,"212796"
125,"spotify:track:0oL2jCTf9P9a7flY5mCpYu","Wxrdie, JustaTee","Trở Về","Universal Music Indochina Distributed Labels",54,119,63,"211133"
126,"spotify:track:317Lh6QCAz9JpWbV3oxrCf","Phùng Khánh Linh, Thành Luke","EM ĐAU","BLACK SWAN LABEL LLC.",62,140,18,"211075"
127,"spotify:track:4TyQKEifYDWTfTSRwpxlYI","Quân A.P","Bông Hoa Đẹp Nhất","Great Entertainment",32,134,124,"210039"
128,"spotify:track:54UNNgtE3zzERwTuWSQLqd","MONSTAR, GREY D, VƯƠNG BÌNH","có hẹn với thanh xuân","Yin Yang Media",5,160,174,"209434"
129,"spotify:track:12DNdwLD9oZOPADqM10oyE","Fishy, Trí Dũng","Forget Me Now","LOOPS Music",126,126,41,"208726"
130,"spotify:track:1J12HjUuXfJnaUdubTEzSR","HIEUTHUHAI","Nghe Như Tình Yêu","M Music Records",35,116,243,"207828"
131,"spotify:track:55K3e7BGewGDUJ4ZQwkh7M","Only C","Người Đáng Thương Là Anh","OnlyC Production",131,165,17,"206928"
132,"spotify:track:3COYA2vgfcUhDyRlVpZy5p","tlinh, Low G","PHÓNG ZÌN ZÌN","M Music Records",4,129,86,"205025"
133,"spotify:track:7fCeYpR02Q8JVuD88hJZVT","Da LAB, Minh Tốc & Lam","Bầu Trời Mới","Universal Music Indochina Distributed Labels",8,123,84,"202735"
134,"spotify:track:7HoAJ6Hc1P91eoOrn1WY5d","Đức Trường, BMZ, Kun","Đáng Lý Ra Phải Là Anh","BMZ",90,120,22,"202076"
135,"spotify:track:5Bti0azlFhMattVY76qFr9","Vũ.","Lạ Lùng","WM Vietnam",17,132,423,"201982"
136,"spotify:track:6D94p9ASguBcYlDC0o56vx","HIEUTHUHAI","NOLOVENOLIFE","M Music Records",24,110,135,"201377"
137,"spotify:track:3b34161QoxLwsqhWSPy9i5","Da LAB","Thanh Xuân","Sony Music Entertainment",1,135,400,"201061"
138,"spotify:track:1GJ3suxtUVaguVQRemw6Zp","Andiez","Suýt Nữa Thì...","MaiDao Music",74,153,166,"200938"
139,"spotify:track:4vfhartd7HDWGJbdVIycEu","Sơn Tùng M-TP","Muộn Rồi Mà Sao Còn","Universal Music Indochina Distributed Labels",1,166,264,"200811"
140,"spotify:track:5C3fx9rdM4Bxf1MSOQC4Ym","Low G, Thắng","An Thần","M Music Records",2,156,238,"199231"
141,"spotify:track:3y66li7DIrH7HLKIZzxR5H","Kai Đinh","Lễ Đường","Yin Yang Media",3,139,61,"198269"
142,"spotify:track:7dlgEjrK3lHbP786dshKDV","ANH TRAI ""SAY HI"", B Ray, AMEE","CHỜ ANH VỀ","Universal Music Indochina Distributed Labels",2,145,23,"196864"
143,"spotify:track:6TGwaBlfUGVoeZMBLzvXGP","Dangrangto, DONAL","thế giới của anh","Higher Dimension",50,127,15,"195738"
144,"spotify:track:51bYFYWODfYOZU0rwvjiCc","Binz, Đen","Cho Mình Em","Spacespeakers",32,133,129,"195157"
145,"spotify:track:5PGh9MyKry8slG5AfvD1eD","Obito, Shiki, VSTRA","Hà Nội","12 trái lê",10,143,136,"194100"
146,"spotify:track:5LuyL5o2BcFKK4FOJLYsSy","Minh Đinh, Hà An Huy","Nằm Bên Anh","DAO Entertainment",28,-1,47,"193192"
147,"spotify:track:4Iz5EWPCAT8jYNk4IpLoll","buitruonglinh","Dù Cho Mai Về Sau","Yin Yang Media",10,125,268,"193188"
148,"spotify:track:5prZw3OHd2UhAq0VBKpqUM","GREY D","mới hôm qua","Universal Music Indochina Distributed Labels",34,149,7,"192539"
149,"spotify:track:3gLRyMbg5nWLcuKD46Uz72","Phương Ly","Anh Là Ai","PHUONG LY",109,130,33,"192432"
150,"spotify:track:6UFvSmKzCZ16fxsybf4PhE","Nguyễn Trọng Tài, Don Raemo, Double X","HONGKONG1","T2B Media",150,183,11,"189809"
151,"spotify:track:25NLn8W1JxuVrXQTVrDA4c","Dfoxie37, myhoa, Tuann","hello em có khỏe không","Universal Music Indochina Distributed Labels",15,159,24,"189757"
152,"spotify:track:4N99EuIjwSSFFFMDfTeOLU","buitruonglinh, Vũ Phụng Tiên","Em Không Khóc (feat. Vũ Phụng Tiên)","Yin Yang Media",62,147,184,"188644"
153,"spotify:track:33S16Xa5cZmLPhn6eZI4Nm","52Hz, RIO, WEAN","ĐỢI (feat. WEAN) - SPECIAL VERSION","DAO Entertainment",58,174,94,"188465"
154,"spotify:track:4wD6v7xAl1Hhfl2rli4q0n","HIEUTHUHAI, Hustlang Robber","Vacheron Louie V","M Music Records",49,105,3,"188424"
155,"spotify:track:2GE2p2dFpxp7OIz2QOFBzW","ANH TRAI ""SAY HI"", HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều, Isaac","KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)","Anh Trai Say Hi",5,136,81,"187888"
156,"spotify:track:5wYQC7AuxV8ROALWcbVNxc","Hoàng Dũng, Rhymastic, Lelarec","Giữ Anh Cho Ngày Hôm Qua","Lirico Entertainment",40,170,31,"186966"
157,"spotify:track:2ppLwHSMgDGEQ5c8o6nAX2","Low G","Simp Gái 808","M Music Records",9,141,135,"186038"
158,"spotify:track:1mtmvJjTchdqDCoJbFv1Op","OgeNus, Dangrangto","Tuyển Bạn Gái","Universal Music Indochina Distributed Labels",40,88,5,"185658"
159,"spotify:track:2uxjHthUJd2A8PmWaUGGsI","Hoàng Dũng, Hoàng Rob","Chờ Anh Nhé","Lirico Entertainment",99,154,48,"185235"
160,"spotify:track:4fj4Jn4nw8fGX8xdbCntJf","CoolKid, RHYDER","Sau Cơn Mưa","MaiDao Music",8,157,141,"184830"
161,"spotify:track:7J9l9ebYB3IEs5ea5J1M7a","Da LAB, Tóc Tiên","Nước Mắt Em Lau Bằng Tình Yêu Mới","MUNIZ MUSIC COMPANY LIMITED",107,194,116,"183634"
162,"spotify:track:1zvL2X6HPrLfvtSY4DpopE","MIN","Em Mới Là Người Yêu Anh","MIN",1,177,156,"181686"
163,"spotify:track:498g7npirihKT5MPdVSfb0","Hoàng Dũng","Phonecert","CAM, LIRICO",137,190,21,"181239"
164,"spotify:track:5kJMW3pK49PvQDtpVryHf5","JustaTee","Forget About Her","Spacespeakers",31,191,39,"181148"
165,"spotify:track:50cmxP6KlnQA9IG3q5ckKD","Chillies","Mascara","WM Vietnam",3,-1,225,"180982"
166,"spotify:track:4D1eaEIisnWCVPMnYuMh7q","白浩贤BlueC","漫步香港1999","腾讯音乐人",13,152,13,"178904"
167,"spotify:track:0aPZbnkMoWJaJ5CNVLCj8S","Justin Bieber","That Should Be Me","RBMG/Def Jam",53,131,5,"175831"
168,"spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr","Vũ.","Bước Qua Mùa Cô Đơn","WM Vietnam",1,197,271,"175546"
169,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",11,180,151,"174201"
170,"spotify:track:2FnXZhpEKgIab8vI6t2C7e","Shiki, Tyronee","Perfect","12 trái lê",74,148,57,"174079"
171,"spotify:track:6qgATU8r0ZPcPFPtZ5qA7B","Long Cao","Em Của Anh Đừng Của Ai!","Long Cao",167,-1,2,"174055"
172,"spotify:track:170CNv2CAZn8wg6GxvHXYC","B Ray, AMEE","Ex's Hate Me","B Ray",129,163,28,"172978"
173,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",4,179,88,"172691"
174,"spotify:track:1fFvYVg1v3rpUSqKNCUh7b","VCT","Người Bình Thường","Universal Music Indochina Distributed Labels",49,172,58,"171849"
175,"spotify:track:7yxogpPUBn4wVEKBgI5c7U","Lil Zpoet","Yêu Từ Đâu Mà Ra","MaiDao Music",143,164,31,"171416"
176,"spotify:track:6KIhgRkprgyJNERRMu7Quh","MIN","Có Em Chờ","MIN",117,169,53,"171404"
177,"spotify:track:4qYfRfSxsmhJ1WMaywtLyI","Wren Evans, itsnk","Từng Quen","Universal Music Indochina",1,195,122,"171187"
178,"spotify:track:5BJqg07SKgmFnVLOBmLFvq","Bùi Anh Tuấn","Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu""","1LABEL",109,158,56,"171158"
179,"spotify:track:29Tj2R8sZZ3fzlXZVe1OyY","Dương Domic, Lou Hoàng","Pin Dự Phòng","DAO Entertainment",13,162,45,"171038"
180,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",38,173,15,"170951"
181,"spotify:track:6T17ZI0glfM2IGLdUwtnLK","CORTIS","JoyRide","Republic Records – CORTIS",129,142,3,"169723"
182,"spotify:track:2G5ujw3rrWcAXQqT8PVnrz","Obito, Shiki, Lăng LD","Đầu Đường Xó Chợ","12 trái lê",39,-1,81,"168446"
183,"spotify:track:65st6HfPZyxq1RNTvqSIos","Wren Evans, itsnk","Thu Đợi","Universal Music Indochina Distributed Labels",6,175,20,"168124"
184,"spotify:track:42i1d7gos5WvqZIFWCfE7E","Ngô Lan Hương","Có công mài ""Sắc""","Ngô Lan Hương Exclusive",85,176,5,"167554"
185,"spotify:track:7kgzRBNkBRArtTPkYjWLYT","14 Casper, Bon Nghiêm","bao tiền một mớ bình yên?","DANDERLÉON",9,-1,260,"167189"
186,"spotify:track:6hytdEPX4UcGh91gDBUZDv","Dab, Helinn","Anh Cũng Đâu Có Muốn Tin?","MaiDao Music",147,186,29,"165516"
187,"spotify:track:1Ipu7wzbc2qM7muqszyiZD","Solmee, Dyteller, hoangkiet","Tâm sự","Universal Music Indochina Distributed Labels",143,196,7,"165380"
188,"spotify:track:08ULi904W2Po6pVj8nN7KC","GREY D, Chillies","đưa em về nhàa","Universal Music Indochina Distributed Labels",3,-1,157,"163550"
189,"spotify:track:2n00rcPaXcWfFB9irOKOmh","Ronboogz","Anh Chỉ Muốn","MaiDao Music",76,161,100,"161945"
190,"spotify:track:3H6nzsPNMttEvUl3ai3xN8","Chillies","Vùng Ký Ức","WM Vietnam",1,187,128,"161253"
191,"spotify:track:5yvVYFDUpbnjcnRBgjwTzM","Tame Impala, JENNIE","Dracula - JENNIE Remix","Columbia",173,-1,4,"160996"
192,"spotify:track:7G7mSV4BebkoHWwKTDvXu9","V, Park Hyo Shin","Winter Ahead (with PARK HYO SHIN)","BIGHIT MUSIC",3,-1,66,"160671"
193,"spotify:track:0669gFIK8dYK9GGQ0K0QNF","Dương Domic","Tràn Bộ Nhớ","DAO Entertainment",7,-1,76,"160399"
194,"spotify:track:2UvqD395dhlJWO0SxHJ89n","HIEUTHUHAI, HURRYKNG","Đáng Lý Anh Nên Yêu Em Hơn","M Music Records",80,144,3,"160319"
195,"spotify:track:527UV7H9SbnmTVkxBVg56X","Sơn Tùng M-TP","Chắc Ai Đó Sẽ Về","Universal Music Indochina Distributed Labels",126,188,36,"160233"
196,"spotify:track:53zusvCJkyGYjEZ6bnLIjh","Hà Anh Tuấn","Tháng Tư Là Lời Nói Dối Của Em","Yin Yang Media",49,168,61,"159889"
197,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",21,200,201,"159713"
198,"spotify:track:0jHpGB1Xt2kIX0VaPFvStp","Tùng TeA, PC, TaynguyenSound","Già Cùng Nhau Là Được","12 trái lê",70,155,145,"159465"
199,"spotify:track:7jLSThU5Kg1RWt19Leiaxm","RPT MCK, Trung Trần","Chìm Sâu","N0L4B3L",1,182,219,"158745"
200,"spotify:track:1uiqiUzPn2EJpvHDy84PEZ","EM XINH ""SAY HI"", Orange, Mỹ Mỹ, 52Hz, Châu Bùi, Pháp Kiều","KHÔNG ĐAU NỮA RỒI","Em Xinh Say Hi",2,-1,45,"158526"
