rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2HRgqmZQC0MC7GeNuDIXHN","Jung Kook, Latto","Seven (feat. Latto) (Explicit Ver.)","BIGHIT MUSIC",1,1,147,"2413076"
2,"spotify:track:68lbSrXDORS51pmyjZv712","BTS","SWIM","BIGHIT MUSIC",1,2,7,"1949416"
3,"spotify:track:5xVCfx47vCXuLdpfbepqEo","HIEUTHUHAI","Người Im Lặng Gặp Người Hay Nói","M Music Records",2,3,9,"872024"
4,"spotify:track:1ApIGNgp1azc0qB61x4GzG","Hngle, Ari","Không Buông","Universal Music Indochina Distributed Labels",2,4,35,"836755"
5,"spotify:track:2fCwv2ppU5nTRTckomIGsd","CORTIS","REDRED","Republic Records – CORTIS",5,8,3,"806197"
6,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",1,11,130,"794646"
7,"spotify:track:6Qwl74olNi1rl65FNxG5We","marzuz, Changg","Và Thế Giới Đã Mất Đi Một Người Cô Đơn","Universal Music Indochina",7,7,24,"695014"
8,"spotify:track:7uUuftbcr94tzGOCJSM25u","Low G, JustaTee","In Love","M Music Records",2,5,28,"670531"
9,"spotify:track:4nXrVH5xwN1w6TpmP7uu8n","HIEUTHUHAI, marzuz","Exit Sign","M Music Records",4,6,134,"644472"
10,"spotify:track:73RcFjiDtStfP3GCW44vJu","Minh Huy, Pinny","Ngày Rời Chuyến Bay","12 trái lê",10,10,5,"621970"
11,"spotify:track:5KYv3kORBKUmVEoqbRRWxt","Bảo Anh, Táo","Từng Là Của Nhau","Yin Yang Media",7,12,35,"571589"
12,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",9,9,4,"553211"
13,"spotify:track:7bFFUPBiF15n8m8RziqS4o","GREY D","dự báo thời tiết hôm nay mưa","Universal Music Indochina Distributed Labels",7,18,181,"510486"
14,"spotify:track:42AOwjuMmIN1ioyyWB60Lw","GREY D","hoá ra…","Universal Music Indochina Distributed Labels",5,15,6,"496217"
15,"spotify:track:0NyrI1tMvqcK3vU5z9DMdI","JustaTee","She Neva Knows","NGUYEN THANH TUAN",13,13,14,"493520"
16,"spotify:track:2a5hng9yXtbjtTVVm9UviC","VCT","Mơ","Universal Music Indochina Distributed Labels",6,19,193,"492261"
17,"spotify:track:1K0HQ30Wc11okzlcnFA7Ub","HIEUTHUHAI","Không Thể Say","M Music Records",7,20,159,"487746"
18,"spotify:track:6GM4ZOBDcDroldUxI8GZ2B","VSTRA, Tyronee","Ai Ngoài Anh","CDSL",2,14,18,"475719"
19,"spotify:track:0t8g66pWghsU8MphjUQIdg","Phùng Khánh Linh, 30 Pictures","Cảm Ơn Người Đã Thức Cùng Tôi","+84 Vietnam New Wave",5,32,11,"458060"
20,"spotify:track:2wZAvkgiOE5tyrnqhB69KA","Sơn Tùng M-TP","Âm Thầm Bên Em","Universal Music Indochina Distributed Labels",9,24,289,"453630"
21,"spotify:track:5cn5oHiXJTLiuthgbgfkMh","VCT","Vết Mưa","Universal Music Indochina Distributed Labels",19,26,113,"442823"
22,"spotify:track:4BdB08vuS9r4HOoY7GkAxT","SOOBIN","Nếu Ngày Ấy","SS LABEL",18,27,72,"438016"
23,"spotify:track:6lRlM6bClcoOBLQi0zfA34","HIEUTHUHAI, Hoàng Tôn","Chờ Tới Khi Anh Về","M Music Records",23,28,2,"432320"
24,"spotify:track:41DlPJXKTCypXdf2eSqa03","Vũ., Binz","bình yên","WM Vietnam",4,17,88,"423732"
25,"spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC","Shartnuss, Phankeo, Tr.D","Nắng có mang em về","MaiDao Music",4,23,117,"414817"
26,"spotify:track:0hB27T4dy9qBUcZabsrLOj","HIEUTHUHAI","Dạo Gần Đây Anh Thấy Anh Không Bằng Ai Hết","M Music Records",16,16,2,"408858"
27,"spotify:track:11T61UpoNbbcewOMl1kcWN","NHONHO","Dạo Bước HongKong 1999","NHONHO",5,22,6,"393555"
28,"spotify:track:3T7XHOdRcyhKU3QCB6kZG3","MIN, Dangrangto, antransax","chẳng phải tình đầu sao đau đến thế","WM Vietnam",2,21,28,"392715"
29,"spotify:track:3uT8QfoX0BE8ZJa4h98LDW","Puppy, Dangrangto","Wrong Times","MaiDao Music",3,25,131,"391291"
30,"spotify:track:6mKMGpkgP2cH5gmqILWe7b","Fishy","vết thương","LOOPS Music",15,42,51,"388936"
31,"spotify:track:0fGJiHH6xSUJU1MAVjxq5m","Karik, GDucky","Bạn Đời","WM Vietnam",5,46,136,"387537"
32,"spotify:track:6Zoi4ue74UdUeYmHXItXnf","B Ray, V#","Vùng An Toàn","MIXUS",3,40,44,"381444"
33,"spotify:track:4gaxEUZE4z9pJAVTSFwgQI","14 Casper, Bon Nghiêm, buitruonglinh","một đời","DANDERLÉON",14,37,110,"381109"
34,"spotify:track:3DLtPObflLQBodZN8qGODT","JustaTee, BigDaddy","2AM","WM Vietnam",18,33,210,"380693"
35,"spotify:track:6GUKRhIsWxA7VuZW8MKQLG","Dương Domic","Không Thời Gian","DAO Entertainment",2,29,33,"380651"
36,"spotify:track:3Ids3RXurYBgySph53qWnB","buitruonglinh","Từng Ngày Yêu Em","LOOPS Music",9,35,70,"375008"
37,"spotify:track:27Z9T0mSWHYWSj9SNOGvyt","JustaTee, Phương Ly","Thằng Điên","NGUYEN THANH TUAN",2,45,196,"371615"
38,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Da LAB, Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,38,231,"368704"
39,"spotify:track:5tdz7T4hTxA1ipJMBe24uX","AMEE","ex's hate me, Pt.2","Yin Yang Media",13,30,185,"366228"
40,"spotify:track:0GXZXSDFSbJjqdGifjSaig","buitruonglinh","Sớm Như Vậy","Umusic Vietnam Co. Ltd. Distributed Labels",19,31,4,"352431"
41,"spotify:track:4nyoalDFgUaZOzIKqj3aS5","Đặng Vĩnh Thịnh, BMZ, Nguyễn Trung Đức","Ngàn Năm Ánh Sáng","BMZ JSC",5,44,39,"343036"
42,"spotify:track:3dbfL7nHOZlM4adzLHNnB3","Juky San, buitruonglinh","Người Đầu Tiên","DAO Entertainment",2,34,27,"342745"
43,"spotify:track:3x7Hh3zsE1wcXCU2G8l5tP","SOOBIN","DANCING IN THE DARK","SS LABEL",3,51,60,"337040"
44,"spotify:track:6Hs2xIgB8nzyGFDvVA8lFa","Madihu, Low G","Có Em","NGUYEN CHI PHONG",4,54,211,"336618"
45,"spotify:track:3J3nv18iIrOhca1ZWNeuyW","JustaTee","Đã Lỡ Yêu Em Nhiều","NGUYEN THANH TUAN",36,48,170,"334401"
46,"spotify:track:3VkV6L37ub0rtuYQoawAqz","Lil Zpoet","Tình Mình Lạ Kì","LiL Z Poet",45,57,14,"334347"
47,"spotify:track:1DVYafsLmcQySKkJnY4RCs","MAYDAYs, Minh Tốc & Lam","Phép Màu - Đàn Cá Gỗ Original Soundtrack","Universal Music Indochina Distributed Labels",2,47,62,"333463"
48,"spotify:track:5rSAUmbOg4giDrM29vUyHe","Sơn Tùng M-TP","Nơi Này Có Anh","Universal Music Indochina Distributed Labels",5,53,361,"333159"
49,"spotify:track:5WkuMbkHX7yR7nnBKCn7tV","RIO","vạn vật như muốn ta bên nhau","DAO Entertainment",6,50,56,"332595"
50,"spotify:track:7diH1qnFziArYzynk3vkr6","CORTIS","TNT","Republic Records – CORTIS",50,-1,1,"331764"
51,"spotify:track:7Ldcvhcl4Xj4eOTSWpZus5","CORTIS","ACAI","Republic Records – CORTIS",51,-1,1,"331162"
52,"spotify:track:6IxPiUQI4Cd0mL0pBIOjAg","HIEUTHUHAI","Hết Yêu","M Music Records",39,39,2,"324556"
53,"spotify:track:7mblTCdc14ylJ1JW71MODb","buitruonglinh","Giờ Thì","LOOPS Music",11,60,73,"324502"
54,"spotify:track:4MCP9l0QB9YN2LCkIy8mz4","Obito","Dạo Này","12 trái lê",8,58,19,"323129"
55,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,43,135,"317591"
56,"spotify:track:3ET3xHCLMGd57u06A9RjJ0","Ronboogz","Nói Dối","MaiDao Music",3,62,131,"311912"
57,"spotify:track:3vSmjbKFByNM6l31NmFlmB","GREY D, MIN","đôi mắt kẻ tình si","Universal Music Indochina Distributed Labels",12,65,6,"307402"
58,"spotify:track:6ag0c7tBr3PIqPb00C2rK4","VCT, Negav, Jey B, Ngô Kiến Huy","NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN - KHÔNG ĐAU NỮA RỒI","VIE NETWORK CORPORATION / ADA",45,59,10,"306120"
59,"spotify:track:1VyXprVXZYNGWWZf1u4JfN","CORTIS","Blue Lips","Republic Records – CORTIS",59,-1,1,"301620"
60,"spotify:track:58ZlEBxBrzISXtmcOPo476","SOOBIN","giá như","SS LABEL",13,70,108,"301491"
61,"spotify:track:1MiJk3dXC5jzhvLFP0dUM7","Da LAB","Thức Giấc","Yin Yang Media",1,71,252,"300195"
62,"spotify:track:2pm7K14nHj2fLrpU8j9bit","PC","10 Ngàn Năm","12 trái lê",27,55,204,"299776"
63,"spotify:track:6VXVYATpQXEIoZ97NnWCmn","Madihu, Vũ.","Vì Anh Đâu Có Biết","WM Vietnam",2,56,196,"297623"
64,"spotify:track:4UC3NBjtqbYcqPqRq1s57D","Lyly","24h","WM Vietnam",47,52,51,"296751"
